# i,j,covariance_ij
20,17,-0.00010026399166435094
20,18,0.00013428733292551297
20,19,6.252047821434017e-05
20,20,2.5437485718160388e-05
20,21,1.1594117622015256e-05
20,22,-1.4789450885524567e-05
20,23,0.0
20,24,0.0
20,25,0.0
21,0,1.0117441129922228e-06
21,1,8.935072180730613e-07
21,2,-7.481879178720909e-07
21,3,-1.0400211926322818e-05
21,4,-1.1312529117406635e-05
21,5,5.049732344369762e-07
21,6,-6.307398908435131e-07
21,7,-2.105406292222803e-06
21,8,-2.777885781563666e-06
21,9,4.1592407418774925e-06
21,10,-1.0675944480398615e-05
21,11,4.662713925647834e-06
21,12,-2.625940268859393e-06
21,13,-1.4482516675380535e-07
21,14,-4.8013604804913885e-06
21,15,-1.950697540352214e-05
21,16,-3.6502197727882e-05
21,17,-7.183193077817995e-05
21,18,9.18302477034218e-05
21,19,3.3167787741153296e-05
21,20,1.1594117622015256e-05
21,21,1.6302915762264187e-05
21,22,2.5367559202334682e-05
21,23,0.0
21,24,0.0
21,25,0.0
22,0,-1.989243143560121e-06
22,1,-4.9191937728864565e-06
22,2,-1.4138180087247018e-05
22,3,-1.4363327803275958e-05
22,4,-3.1430619901011276e-05
22,5,-1.3311001534611744e-06
22,6,5.624493507644362e-06
22,7,-9.410272695916598e-06
22,8,2.4728990221998237e-06
22,9,4.655564350265728e-06
22,10,-2.6022903283820638e-05
22,11,1.7657271441938406e-06
22,12,1.600257494357497e-05
22,13,3.704648452321965e-05
22,14,3.4241365434832353e-06
22,15,-7.889515455992168e-06
22,16,-4.3941186274704335e-06
22,17,-1.7858514913715e-05
22,18,1.1163862642203536e-05
22,19,-2.273613727065019e-05
22,20,-1.4789450885524567e-05
22,21,2.5367559202334682e-05
22,22,0.00010216452520112802
22,23,0.0
22,24,0.0
22,25,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
23,13,0.0
23,14,0.0
23,15,0.0
23,16,0.0
23,17,0.0
23,18,0.0
23,19,0.0
23,20,0.0
23,21,0.0
23,22,0.0
23,23,0.0
23,24,0.0
23,25,0.0
24,0,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
24,13,0.0
24,14,0.0
24,15,0.0
24,16,0.0
24,17,0.0
24,18,0.0
24,19,0.0
24,20,0.0
24,21,0.0
24,22,0.0
24,23,0.0
24,24,0.0
24,25,0.0
25,0,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
25,13,0.0
25,14,0.0
25,15,0.0
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
25,24,0.0
25,25,0.0
